Date,Open,High,Low,Close,Adj Close,Volume
2008-12-26,72.500000,73.900002,70.099998,70.449997,57.751320,79686
2008-12-29,70.500000,74.500000,69.050003,73.500000,60.251564,82843
2008-12-30,73.000000,74.449997,72.599998,73.699997,60.415508,50343
2008-12-31,74.900002,77.000000,72.599998,74.949997,61.440186,207846
2009-01-02,76.250000,81.300003,75.500000,78.949997,64.719177,904750
2009-01-05,79.449997,81.800003,78.800003,79.900002,65.497955,326347
2009-01-06,80.000000,82.449997,76.500000,78.300003,64.186348,387882
2009-01-07,79.000000,79.949997,72.500000,75.099998,61.563152,396422
2009-01-09,72.000000,77.000000,71.500000,75.099998,61.563152,275920
2009-01-12,74.500000,74.650002,70.000000,73.050003,59.882668,124366
2009-01-13,72.300003,74.199997,70.400002,71.300003,58.448105,95501
2009-01-14,73.000000,73.699997,71.900002,72.599998,59.513790,42590
2009-01-15,70.050003,72.250000,69.300003,71.250000,58.407124,41928
2009-01-16,72.500000,74.099998,71.500000,73.150002,59.964645,76396
2009-01-19,74.900002,75.849998,72.550003,73.550003,60.292545,85686
2009-01-20,73.199997,80.500000,72.000000,78.050003,63.981415,392862
2009-01-21,78.800003,80.000000,71.050003,72.150002,59.144894,296253
2009-01-22,73.250000,74.000000,70.000000,70.449997,57.751320,150453
2009-01-23,70.849998,71.050003,68.550003,69.800003,57.218491,100362
2009-01-27,72.000000,73.449997,71.000000,71.300003,58.448105,111563
2009-01-28,71.949997,72.699997,71.400002,72.050003,59.062920,57101
2009-01-29,73.800003,74.099998,70.599998,71.250000,58.407124,67398
2009-01-30,71.000000,72.750000,70.300003,72.250000,59.226860,62085
2009-02-02,72.900002,73.900002,70.550003,71.400002,58.530090,69655
2009-02-03,71.949997,72.949997,70.599998,71.800003,58.857990,59376
2009-02-04,72.449997,72.900002,70.699997,71.199997,58.366131,39239
2009-02-05,69.000000,71.900002,68.599998,69.949997,57.341450,58192
2009-02-06,71.000000,72.000000,70.550003,71.099998,58.284161,35467
2009-02-09,71.750000,73.250000,70.900002,72.099998,59.103912,76350
2009-02-10,73.900002,75.250000,72.000000,72.650002,59.554771,124138
2009-02-11,71.500000,73.750000,71.000000,72.250000,59.226860,59317
2009-02-12,72.900002,74.750000,72.550003,72.949997,59.800697,93609
2009-02-13,74.000000,76.199997,73.550003,74.099998,60.743404,144358
2009-02-16,75.800003,78.400002,72.500000,72.949997,59.800697,331149
2009-02-17,71.000000,72.300003,69.699997,70.199997,57.546383,73190
2009-02-18,70.000000,71.500000,69.300003,70.250000,57.587383,46277
2009-02-19,70.599998,72.449997,70.599998,72.199997,59.185879,57910
2009-02-20,71.800003,72.300003,70.550003,71.849998,58.898960,63340
2009-02-24,71.050003,72.449997,69.949997,71.599998,58.694027,70066
2009-02-25,72.750000,74.250000,72.300003,72.699997,59.595757,74097
2009-02-26,72.699997,73.800003,71.099998,71.900002,58.939960,55421
2009-02-27,73.000000,75.500000,72.599998,73.300003,60.087620,244162
2009-03-02,72.099998,73.000000,70.599998,71.099998,58.284161,50522
2009-03-03,70.800003,71.500000,69.800003,70.099998,57.464405,38021
2009-03-04,70.300003,70.849998,69.000000,69.250000,56.767632,45189
2009-03-05,70.400002,70.449997,66.699997,67.050003,54.964184,55847
2009-03-06,66.250000,66.900002,63.900002,65.150002,53.406658,80386
2009-03-09,65.949997,65.949997,64.599998,65.400002,53.611591,35991
2009-03-12,66.099998,68.000000,65.250000,66.599998,54.595287,74591
2009-03-13,67.500000,68.900002,65.900002,67.750000,55.538002,105250
2009-03-16,68.250000,70.900002,66.500000,68.449997,56.111820,144853
2009-03-17,69.099998,70.699997,68.400002,68.800003,56.398743,66345
2009-03-18,69.199997,71.300003,69.199997,69.599998,57.054535,72992
2009-03-19,70.000000,71.300003,69.500000,70.099998,57.464405,53711
2009-03-20,70.000000,72.000000,69.099998,70.650002,57.915283,66012
2009-03-23,71.099998,72.400002,70.150002,71.800003,58.857990,81198
2009-03-24,72.800003,73.599998,70.000000,70.150002,57.505402,90313
2009-03-25,70.599998,71.449997,69.449997,70.900002,58.120216,56250
2009-03-26,71.050003,72.500000,71.050003,71.550003,58.653046,74348
2009-03-27,72.500000,74.900002,71.900002,73.849998,60.538471,134227
2009-03-30,73.099998,74.650002,72.000000,72.849998,59.718716,132824
2009-03-31,72.500000,75.800003,72.500000,74.050003,60.702427,163273
2009-04-01,75.900002,76.599998,73.750000,76.150002,62.423893,90882
2009-04-02,77.250000,79.500000,76.849998,78.650002,64.473267,170517
2009-04-06,79.949997,81.500000,78.550003,80.750000,66.194740,197855
2009-04-08,78.599998,84.699997,77.199997,83.800003,68.694977,237361
2009-04-09,85.099998,108.900002,85.099998,104.800003,85.909714,2553177
2009-04-13,107.000000,110.699997,102.000000,104.750000,85.868713,922911
2009-04-15,106.000000,112.699997,101.550003,108.150002,88.655861,562449
2009-04-16,110.000000,111.699997,98.099998,99.550003,81.606033,305935
2009-04-17,101.000000,107.250000,99.599998,102.300003,83.860336,327767
2009-04-20,104.000000,108.500000,101.650002,103.500000,84.844040,251419
2009-04-21,100.449997,108.699997,100.000000,104.400002,85.581802,383535
2009-04-22,105.250000,107.500000,98.500000,100.099998,82.056877,235612
2009-04-23,101.000000,101.900002,95.500000,99.750000,81.769974,164555
2009-04-24,100.800003,110.400002,99.300003,104.099998,85.335884,945661
2009-04-27,106.900002,108.050003,103.000000,103.849998,85.130943,414011
2009-04-28,105.000000,105.000000,96.500000,97.400002,79.843559,219171
2009-04-29,100.000000,104.000000,98.000000,99.300003,81.401093,262530
2009-04-30,null,null,null,null,null,null
2009-05-04,102.900002,105.000000,101.599998,103.800003,85.089966,239293
2009-05-05,104.000000,107.900002,103.250000,104.599998,85.745758,252065
2009-05-06,106.900002,115.400002,105.199997,107.650002,88.245987,1064226
2009-05-07,109.800003,114.000000,108.099998,108.800003,89.188705,353305
2009-05-08,109.250000,112.000000,104.650002,105.300003,86.319572,263577
2009-05-11,106.900002,107.500000,98.050003,99.300003,81.401093,232183
2009-05-12,99.000000,102.800003,97.199997,101.500000,83.204521,211516
2009-05-13,102.949997,106.949997,102.750000,105.400002,86.401558,382214
2009-05-14,101.000000,105.500000,100.250000,104.050003,85.294884,127334
2009-05-15,105.800003,108.300003,104.050003,106.000000,86.893402,369258
2009-05-18,114.949997,123.400002,112.599998,121.099998,99.271606,7282
2009-05-19,124.000000,136.600006,108.000000,134.550003,110.297234,1211037
2009-05-20,139.399994,148.000000,133.000000,142.149994,116.527328,512256
2009-05-21,143.000000,148.500000,136.949997,140.100006,114.846855,300606
2009-05-22,138.000000,144.000000,133.199997,138.449997,113.494232,188121
2009-05-25,140.500000,143.899994,138.550003,140.850006,115.461662,266102
2009-05-26,145.000000,149.949997,135.800003,137.699997,112.879456,501759
2009-05-27,143.000000,143.699997,139.000000,142.250000,116.609314,226387
2009-05-28,142.000000,144.949997,141.000000,143.250000,117.429062,188049
2009-05-29,144.500000,146.250000,143.000000,143.199997,117.388054,231611
2009-06-01,147.899994,153.399994,144.149994,147.199997,120.667076,743331
2009-06-02,149.399994,149.949997,142.199997,143.800003,117.879921,211016
2009-06-03,146.250000,147.500000,137.750000,142.750000,117.019180,220729
2009-06-04,144.000000,161.500000,141.000000,157.350006,128.987534,835757
2009-06-05,162.000000,165.899994,153.000000,155.199997,127.225075,611804
2009-06-08,155.300003,173.399994,154.350006,158.399994,129.848251,1338916
